FileNo	CountyName	CurrentOperator	CurrentWellName	DFElev	FieldName	Footages	GRElev	KBElev	LeaseName	LeaseNumber	OriginalOperator	OriginalWellName	ProducedPools	QQ	Range	Section	TD	Township	WellStatus	WellType	Wellbore	api	bakken_isopach_ft	bh_lat	bh_lng	choke_size	legs	max_tvd	mean_tvd	min_tvd	num_pools_produced	production_liquid_120	production_liquid_150	production_liquid_180	production_liquid_1825	production_liquid_270	production_liquid_30	production_liquid_365	production_liquid_60	production_liquid_730	production_liquid_90	spud_date	std_tvd	stimulated_formation	surface_lat	surface_lng	total_lbs_proppant	total_num_stages	total_volume_bbls	tvd	type_treatment	well_status_date
27140	MOUNTRAIL	MARATHON OIL COMPANY	FREEBERG  34-32TFH		REUNION BAY	340 FSL  2254 FEL	2177.0	2201.0	FREEBERG	34-32TFH	MARATHON OIL COMPANY	FREEBERG  34-32TFH	BAKKEN	SWSE	93 W	32	20914.0	151 N	A	OG	HORIZONTAL	US33061028510000	100.0	47.875818	-102.60854300000001	46/64	2.0	10857.73	10743.7008759	10166.82	1	76489.0	88523.0	98586.0		123129.0	24196.0		41818.0		61593.0	2014-05-02	129.71102931	three forks	47.8484892239	-102.608798362	643470.0	30	48422.0	10857.73	sand frac	2014-08-26
23445	MOUNTRAIL	HESS BAKKEN INVESTMENTS II, LLC	EN-PEDERSON  154-94-0409H-5		ALKALI CREEK	492 FNL  1100 FEL	1954.0	1980.0	EN-PEDERSON	154-94-0409H-5	HESS CORPORATION	EN-PEDERSON  154-94-0409H-5	BAKKEN	LOT1	94 W	4	19855.0	154 N	A	OG	HORIZONTAL	US33061022010000	130.0	48.169058	-102.76521	32/64	2.0	10435.43	10319.2258904	9704.19	1	65889.0	74260.0	80644.0		100216.0	30502.0	115108.0	46975.0		57284.0	2013-04-11	151.606303763	bakken	48.195883495	-102.76749501799999	2208571.0	34	37718.0	10435.43	sand frac	2013-07-27
19232	MCKENZIE	CONTINENTAL RESOURCES, INC.	QUALE  1-1H		ANTELOPE	1000 FNL  1140 FWL	2073.0	2096.0	QUALE	1-1H	CONTINENTAL RESOURCES, INC.	QUALE  1-1H	SANISH	LOT 4	94 W	1	20456.0	152 N	A	OG	HORIZONTAL	US33053031930000	120.0	48.009523	-102.65822	24/64	3.0	10741.75	10678.7414286	10290.07	1	85741.0	99119.0	109113.0		138988.0	29530.0	163906.0	50516.0	232619.0	68868.0	2011-10-13	110.744450571	three forks	48.0207770517	-102.659038295	2890910.0	30	53959.0	10732.09	sand frac	2012-01-25
24307	DUNN	HRC OPERATING, LLC	FORT BERTHOLD  148-94-29A-32-4H		EAGLE NEST	205 FNL  1605 FEL	2326.0	2354.0	FORT BERTHOLD	148-94-29A-32-4H	PETRO-HUNT, L.L.C.	FORT BERTHOLD  148-94-29A-32-4H	BAKKEN	NWNE	94 W	29	20922.0	148 N	A	OG	HORIZONTAL	US33025019760000	80.0	47.592791999999996	-102.67857099999999		3.0	11054.73	10988.365555600001	10417.92	1	36380.0	41813.0	46580.0		57671.0	13545.0	65549.0	24567.0		30243.0	2013-04-16	139.864957719	three forks	47.616599406899994	-102.67961334299999	3953931.0	31	82036.0	11047.87	other	2013-10-01
23496	MCKENZIE	CONTINENTAL RESOURCES, INC.	ANGUS FEDERAL  4-9H		ELM TREE	800 FNL  2387 FEL	2062.0	2084.0	ANGUS FEDERAL	4-9H	CONTINENTAL RESOURCES, INC.	ANGUS FEDERAL  4-9H	BAKKEN	NWNE	94 W	16	22035.0	153 N	A	OG	HORIZONTAL	US33053042900000	110.0	48.10999	-102.76563	14/64	2.0	10680.49	10476.993272700001	9238.48	1	58700.0	68930.0	83868.0		118456.0	5790.0	147351.0	28922.0		46352.0	2012-12-02	384.442576701	bakken	48.079457618599996	-102.77275679799999	2838147.0	30	54778.0	10680.42	fracture	2013-05-29
20807	DUNN	CONTINENTAL RESOURCES, INC.	DVIRNAK  3-7H		JIM CREEK	365 FNL  968 FEL	2376.0	2402.0	DVIRNAK	3-7H	CONTINENTAL RESOURCES, INC.	DVIRNAK  3-7H	BAKKEN	NENE	95 W	18	21490.0	146 N	A	OG	HORIZONTAL	US33025013670000	70.0	47.476858	-102.824348	16/64	3.0	10987.43	10860.2705	10472.01	1	68137.0	79885.0	90560.0		118264.0	21235.0	144534.0	37138.0	209924.0	54340.0	2011-06-16	159.733576495	bakken	47.4724455268	-102.82562429299999	2959045.0	30	59132.0	10971.83	sand frac	2011-11-18
22982	MCKENZIE	HESS BAKKEN INVESTMENTS II, LLC	HA-NELSON  A-152-95-3427H-2		HAWKEYE	435 FSL  395 FWL	2316.0	2346.0	HA-NELSON	A-152-95-3427H-2	HESS CORPORATION	HA-NELSON  A-152-95-3427H-2	BAKKEN	SWSW	95 W	35	20462.0	152 N	A	OG	HORIZONTAL	US33053041470000	90.0	47.961706	-102.81574499999999	26/64	2.0	10803.02	10627.641647700002	9571.76	1	72627.0	82537.0	90583.0		112151.0	28132.0	129974.0	46569.0	179935.0	60781.0	2012-05-30	305.15478911599996	three forks	47.935401701400004	-102.809895295	1510525.0	34	57867.0	10756.13	sand frac	2012-09-01
25216	MOUNTRAIL	WHITING OIL AND GAS CORPORATION	LITTLEFIELD  21-31TFH		SANISH	545 FNL  1815 FWL	2246.0	2274.0	LITTLEFIELD	21-31TFH	WHITING OIL AND GAS CORPORATION	LITTLEFIELD  21-31TFH	BAKKEN	NENW	91 W	31	18710.0	153 N	A	OG	HORIZONTAL	US33061024800000	120.0	48.032321	-102.397085	40/64	2.0	10335.53	10259.3834074	9774.67	1	33692.0	38911.0	44332.0		60112.0	11454.0	74438.0	20469.0		28749.0		111.13143177200001	bakken	48.036111732799995	-102.431875985	1675780.0	26	23865.0	10240.07	sand frac	2013-06-23
24502	MCKENZIE	WHITING OIL AND GAS CORPORATION	STATE  150-104-3A-10-1H		NELSON BRIDGE	235 FNL  1650 FEL	1890.0	1910.0	STATE	150-104-3A-10-1H	PETRO-HUNT, L.L.C.	STATE  150-104-3A-10-1H	BAKKEN	NWNE	104 W	3	20932.0	150 N	IA	OG	HORIZONTAL	US33053046280000	40.0	47.844658	-103.98037099999999	28/64	3.0	10375.88	10238.6031111	9811.53	1	21091.0	24569.0	28390.0		37794.0	7000.0	44954.0	12443.0		17135.0	2012-11-30	173.523699782	bakken	47.8475896629	-103.975116396	2879040.0	32	67272.0	10365.43	sand frac	2013-02-21
17287	MOUNTRAIL	EOG RESOURCES, INC.	AUSTIN  22-31H		PARSHALL	355 FSL  300 FEL		2266.0	AUSTIN	22-31H	EOG RESOURCES, INC.	AUSTIN  22-31H	BAKKEN	SESE	90 W	31	15400.0	154 N	A	OG	HORIZONTAL	US33061007480000	100.0	48.122809000000004	-102.307307	22/64	2.0	9672.34	9588.99558559	9036.86	1	120950.0	137315.0	154672.0	831420.0	232116.0	48427.0	308018.0	81782.0	543950.0	101520.0	2008-07-02	147.412527544		48.11085906180001	-102.289849786		1		9669.75		2008-10-01
21571	DIVIDE	SM ENERGY COMPANY	MOE 29-32-162-100H  1BP		WEST AMBROSE	260 FNL  2420 FEL	2217.0	2233.0	MOE 29-32-162-100H	1BP	BAYTEX ENERGY USA LTD	MOE 29-32-162-100H  1BP	BAKKEN	NWNE	100 W	29	18320.0	162 N	A	OG	HORIZONTAL	US33023007650000	90.0	48.808459	-103.694168	/64	2.0	8620.77	8513.75459854	7931.0	1	16193.0	19496.0	22988.0		31108.0	5686.0	38264.0	9661.0	51903.0	13168.0	2011-10-21	140.83441701	three forks	48.835988244300005	-103.694046716	3487397.0	15	61949.0	8620.77	sand frac	2012-01-08
19071	MOUNTRAIL	HUNT OIL COMPANY	PALERMO  1-2-31H		ROSS	405 FSL  1439 FWL			PALERMO	1-2-31H	HUNT OIL COMPANY	PALERMO  1-2-31H	BAKKEN	SESW	90 W	2	19110.0	156 N	A	OG	HORIZONTAL	US33061013780000	70.0	48.385552000000004	-102.224071	24/64	2.0	8811.35	8747.47878788	8291.19	1	40124.0	46960.0	53737.0		72297.0	14562.0	90364.0	24649.0	146249.0	32511.0	2011-01-27	93.8670398879	bakken	48.3571889857	-102.217789614	2600326.0	20	38132.0	8732.27	sand frac	2011-04-20
18305	MOUNTRAIL	EOG RESOURCES, INC.	AUSTIN   101-15H		PARSHALL	314 FNL  2250 FEL		2271.0	AUSTIN	101-15H	EOG RESOURCES, INC.	AUSTIN   101-15H	BAKKEN	NWNE	90 W	15	14500.0	154 N	A	OG	HORIZONTAL	US33061011150000	90.0	48.154964	-102.21914100000001	48/64	2.0	9475.59	9293.84966667	8438.95	1	23024.0	25621.0	28222.0	94825.0	37069.0	9195.0	44851.0	15475.0	62765.0	19994.0	2009-10-18	278.082809243		48.1670879628	-102.233126196		20		9456.58		2009-12-23
28204	MCKENZIE	WHITING OIL AND GAS CORPORATION	GAJEWSKI   31-18TFH		LONESOME	220 FNL  1371 FEL	2089.0	2117.0	GAJEWSKI	31-18TFH	WHITING OIL AND GAS CORPORATION	GAJEWSKI   31-18TFH	BAKKEN	NWNE	101 W	18	20464.0	151 N	A	OG	HORIZONTAL	US33053058580000	50.0			48/64					1	20869.0	26171.0	33886.0		51894.0	10682.0		14839.0		17825.0	2014-05-08		bakken	47.905556913599995	-103.65299390700001	3518340.0	33	65755.0		sand frac	2014-07-09
23321	DIVIDE	CRESCENT POINT ENERGY U.S. CORP.	CPEUSC ALDAG  36-35-164N-100W		WEST AMBROSE	2430 FSL  460 FEL	2093.0	2114.0	CPEUSC ALDAG	36-35-164N-100W	CRESCENT POINT ENERGY U.S. CORP.	CPEUSC ALDAG  36-35-164N-100W	BAKKEN	NESE	100 W	36	17300.0	164 N	A	OG	HORIZONTAL	US33023008570000	100.0	48.986862	-103.638483	32/64	2.0	7842.22	7810.78417763	7292.31	1	43558.0	51366.0	58920.0		82779.0	13106.0	105969.0	25370.0	188284.0	35341.0	2012-07-30	79.1560889202	three forks	48.9879266238	-103.59797686	1607080.0	32	43389.0	7825.51	other	2012-11-16
18488	DUNN	MARATHON OIL COMPANY	CW SCHOLLMEYER  34-34H		BAILEY	300 FSL  1640 FEL	2223.0	2248.0	CW SCHOLLMEYER	34-34H	MARATHON OIL COMPANY	CW SCHOLLMEYER  34-34H	BAKKEN	SWSE	94 W	34	20090.0	145 N	A	OG	HORIZONTAL	US33025010060000	60.0	47.356061	-102.636176	20/64	2.0	10544.04	10491.580662999999	9859.8	1	9485.0	10733.0	11856.0		14660.0	1991.0	31405.0	5743.0	80595.0	7973.0	2010-04-02	124.691997017	bakken	47.3293897863	-102.637120744	229302.0	3	7743.0	10523.42	other	2010-10-12
23719	DIVIDE	SAMSON RESOURCES COMPANY	TITAN  3625-2TFH		AMBROSE	230 FNL  985 FWL	2028.0	2056.0	TITAN	3625-2TFH	SAMSON RESOURCES COMPANY	TITAN  3625-2TFH	BAKKEN	LOT4	99 W	1	14124.0	163 N	A	OG	HORIZONTAL	US33023008960000	100.0	48.998467	-103.480982	16/64	2.0	7810.98	7717.4527193	7134.11	1	8141.0	9334.0	10537.0		14244.0	329.0	16666.0	4359.0	24876.0	6579.0	2012-10-09	133.124680837	three forks	48.980528952200004	-103.482192956	1016661.0	26	20417.0	7724.21	sand frac	2013-02-27
18291	DUNN	MARATHON OIL COMPANY	PAUL ROHDE  21-29H		WERNER	300 FNL  1480 FWL		2335.0	PAUL ROHDE	21-29H	MARATHON OIL COMPANY	PAUL ROHDE  21-29H	BAKKEN	NENW	92 W	29	19930.0	146 N	A	OG	HORIZONTAL	US33025009650000	70.0	47.416569	-102.432331	12/64	2.0	10439.53	10366.6601515	9754.71	1	14833.0	17960.0	20563.0		26851.0	6134.0	33289.0	9746.0	50281.0	12364.0	2009-11-12	141.616931362		47.443157707	-102.432713847		1		10416.97		2010-02-11
28071	MCKENZIE	PETRO-HUNT, L.L.C.	SORENSON  152-96-24C-13-2HR		UNION CENTER	236 FSL  651 FWL			SORENSON	152-96-24C-13-2HR	PETRO-HUNT, L.L.C.	SORENSON  152-96-24C-13-2HR	BAKKEN	SWSW	96 W	24	20561.0	152 N	A	OG	HORIZONTAL	US33053057940000	90.0			44/64					1	97380.0	113682.0	126253.0			31422.0		55831.0		77379.0	2014-07-04		three forks	47.963715540600006	-102.916644733	3943960.0	34	103193.0		sand frac	2014-10-07
27047	MOUNTRAIL	WHITING OIL AND GAS CORPORATION	BARTLESON   44-20H		SANISH	1190 FSL  225 FEL	1987.0	2018.0	BARTLESON	44-20H	WHITING OIL AND GAS CORPORATION	BARTLESON   44-20H	BAKKEN	SESE	92 W	20	20263.0	153 N	A	OG	HORIZONTAL	US33061028290000	130.0			48/64					1	45169.0	49986.0	53884.0		69106.0	15704.0		28705.0		37550.0			bakken	48.0554397616	-102.526498351	2425043.0	33	55708.0		sand frac	2014-07-16
19273	MCKENZIE	XTO ENERGY INC.	JOHNSRUD FEDERAL  34X-14		BEAR DEN	249 FSL  2489 FEL	2469.0	2487.0	JOHNSRUD FEDERAL	34X-14	XTO ENERGY INC.	JOHNSRUD FEDERAL  34X-14	BAKKEN	SWSE	96 W	14	22034.0	149 N	A	OG	HORIZONTAL	US33053032000000	90.0	47.689318	-102.93734	24/64	2.0	11252.35	11175.122707200002	10670.98	1	38340.0	45858.0	51619.0		63750.0	11683.0	75930.0	22011.0	114375.0	29919.0	2011-02-03	76.85208200619999	bakken	47.7181091712	-102.929526814	2622967.0	24	67339.0	11252.35	sand frac	2011-07-06
24382	WILLIAMS	CONTINENTAL RESOURCES, INC.	MADISON  3-28H		DOLLAR JOE	390 FSL  765 FWL	2374.0	2394.0	MADISON	3-28H	CONTINENTAL RESOURCES, INC.	MADISON  3-28H	BAKKEN	SWSW	97 W	21	21630.0	155 N	A	OG	HORIZONTAL	US33105028950000	90.0	48.227416	-103.169723	/64	3.0	10977.3	10776.3323077	10590.23	1	31565.0	41498.0	47759.0		66380.0	10463.0	81673.0	18244.0		25717.0	2013-05-24	116.374555979	three forks	48.2275352108	-103.170158714	3525754.0	30	198206.0	10977.3	sand frac	2013-09-10
17578	DUNN	MARATHON OIL COMPANY	GEHRER  21-14H		LAKE ILO	400 FNL  1700 FWL	2225.0	2251.0	GEHRER	21-14H	MARATHON OIL COMPANY	GEHRER  21-14H	BAKKEN	NENW	93 W	14	19720.0	145 N	A	OG	HORIZONTAL	US33025008210000	60.0	47.358865	-102.497778		2.0	10380.69	10311.40375	9792.5	1	14644.0	16384.0	18290.0	80621.0	26729.0	5319.0	34051.0	9420.0	52140.0	12268.0	2008-12-06	123.95265881200001		47.3852028305	-102.495977085		1		10344.84		2009-02-25
21450	MOUNTRAIL	MARATHON OIL COMPANY	JESSICA USA   21-6TFH		REUNION BAY	325 FNL  2250 FEL	2181.0	2206.0	JESSICA USA	21-6TFH	MARATHON OIL COMPANY	JESSICA USA   21-6TFH	BAKKEN	NWNE	93 W	6	21810.0	150 N	DRL	OG	HORIZONTAL	US33061018720000	100.0	47.825998999999996	-102.639515	28/64	3.0	10887.16	10809.5663314	10189.06	1	51668.0	59592.0	65522.0		83049.0	23137.0	114587.0	35949.0	178201.0	45076.0	2011-11-22	137.861779869	three forks	47.846648389799995	-102.63028332200001	2254680.0	30	22589.0	10867.52	sand frac	2012-03-06
24844	MCKENZIE	CONTINENTAL RESOURCES, INC.	WAHPETON  7-16H3		BANKS	438 FNL  2602 FWL	2220.0	2244.0	WAHPETON	7-16H3	CONTINENTAL RESOURCES, INC.	WAHPETON  7-16H3	BAKKEN	NENW	99 W	16	21050.0	152 N	A	OG	HORIZONTAL	US33053047490000	80.0	47.964449	-103.35674	24/64	2.0	11396.07	11325.1583206	10723.12	1	8569.0	9783.0	11043.0		13823.0	5423.0		6766.0		7426.0	2013-04-20	137.885499374	three forks	47.991556856	-103.358165929	2528790.0	30	56355.0	11357.06	sand frac	2014-05-22
17120	MOUNTRAIL	EOG RESOURCES, INC.	AUSTIN  10-34H		PARSHALL	400 FSL  1400 FEL		2232.0	AUSTIN	10-34H	EOG RESOURCES, INC.	AUSTIN  10-34H	BAKKEN	SWSE	90 W	34	14670.0	154 N	A	OG	HORIZONTAL	US33061006890000	90.0	48.111478000000005	-102.22986	22/64	3.0	9369.31	9138.59588235	8889.23	1	166051.0	187379.0	206738.0	820154.0	250088.0	62777.0	332531.0	103923.0	557221.0	138432.0	2008-05-31	150.059768095		48.11108174979999	-102.22964374799999		1		9369.31		2008-08-14
26424	WILLIAMS	WHITING OIL AND GAS CORPORATION	P MANNING  154-99-2-2-11-14H		STOCKYARD CREEK	465 FNL  2245 FEL	2337.0	2362.0	P MANNING	154-99-2-2-11-14H	KODIAK OIL & GAS (USA) INC.	P MANNING  154-99-2-2-11-14H	BAKKEN	LOT2	99 W	2	21025.0	154 N	A	OG	HORIZONTAL	US33105032110000	90.0	48.169781	-103.378064	39/64	2.0	11199.36	11107.1945324	10481.87	1	54233.0	59945.0	65318.0			21620.0		34983.0		46747.0	2013-12-28	145.343532909	bakken	48.1966153599	-103.375619841	4456213.0	22	98517.0	11194.97	sand frac	2014-09-12
20991	MOUNTRAIL	EOG RESOURCES, INC.	FERTILE  47-0712H		PARSHALL	295 FSL  2225 FWL	2036.0	2063.0	FERTILE	47-0712H	EOG RESOURCES, INC.	FERTILE  47-0712H	BAKKEN	SESW	90 W	7	16112.0	151 N	A	OG	HORIZONTAL	US33061017810000	90.0	47.919272	-102.26706899999999	24/64	2.0	9699.05	9625.37423077	8997.8	1	68339.0	86652.0	103063.0		133783.0	18826.0	155147.0	36004.0	212704.0	51527.0	2012-03-15	128.934134288	bakken	47.9062915624	-102.247919265	2421312.0	24	32280.0	9687.15	sand frac	2012-07-13
21825	MCKENZIE	TRIANGLE USA PETROLEUM CORPORATION	GULLICKSON TRUST  150-101-36-25-1H		RAWSON	470 FSL  1450 FEL	2438.0	2453.0	GULLICKSON TRUST	150-101-36-25-1H	TRIANGLE USA PETROLEUM CORPORATION	GULLICKSON TRUST  150-101-36-25-1H	BAKKEN	SWSE	101 W	36	20970.0	150 N	A	OG	HORIZONTAL	US33053038550000	50.0	47.779683	-103.549572	28/64	3.0	11168.59	11065.1919626	10457.02	1	34900.0	42470.0	49223.0		65211.0	10465.0	77274.0	15787.0	117411.0	25131.0	2012-01-28	189.33072437799999	bakken	47.76272300189999	-103.545884512	3956579.0	31	92333.0	11164.56	sand frac	2012-06-01
23519	DUNN	CONTINENTAL RESOURCES, INC.	JACK  4-9H		MURPHY CREEK	309 FSL  1236 FEL	2279.0	2305.0	JACK	4-9H	CONTINENTAL RESOURCES, INC.	JACK  4-9H	BAKKEN	SESE	95 W	9	20660.0	145 N	A	OG	HORIZONTAL	US33025018300000	60.0	47.414782	-102.784001	10/64	2.0	10856.42	10802.4860317	10358.13	1	41201.0	50319.0	57879.0		75257.0	12918.0	89583.0	20492.0		29938.0	2012-09-12	98.7524895734	three forks	47.3872910641	-102.78417987200001	2813157.0	30	48551.0	10854.69	sand frac	2013-01-17
27099	MOUNTRAIL	HESS BAKKEN INVESTMENTS II, LLC	EN-JOHNSON-  155-94-2017H-4		MANITOU	685 FSL  2415 FWL	2189.0	2215.0	EN-JOHNSON-	155-94-2017H-4	HESS CORPORATION	EN-JOHNSON-  155-94-2017H-4	BAKKEN	SESW	94 W	20	19943.0	155 N	A	OG	HORIZONTAL	US33061028430000	130.0	48.243839	-102.790325	38/64	3.0	10375.62	10297.906949200002	9778.36	1	32998.0	37801.0	41770.0		51091.0	14408.0		21529.0		27616.0	2013-12-23	130.961300122	bakken	48.2282277832	-102.79650856299999	3536804.0	35	53002.0	10297.3	sand frac	2014-07-12
18395	DUNN	OXY USA INC.	KATHLEEN STROH  1-20-17H-143-95		MURPHY CREEK	275 FSL  1450 FEL	2272.0	2297.0	KATHLEEN STROH	1-20-17H-143-95	ANSCHUTZ EXPLORATION CORPORATION	KATHLEEN STROH  1-20-17H-143-95	BAKKEN	SWSE	95 W	20	19825.0	143 N	A	OG	HORIZONTAL	US33025009920000	50.0	47.210803000000006	-102.742162	36/64	2.0	10470.67	10390.051162799999	9803.5	1	58917.0	65517.0	72527.0		90800.0	28267.0	112593.0	42271.0	179435.0	51104.0	2010-02-13	149.390976288	bakken	47.18437748270001	-102.74183782200001	1212147.0	20	54283.0	10460.95	sand frac	2010-06-02
